YW830039 Corp	PERU 5 3/8 02/08/35
EK985952 Corp	BTPCL 5 03/01/35
ZM215990 Corp	MEX 6.35 02/09/35
AZ176124 Corp	PERUGB 5.4 08/12/34
ZF497784 Corp	BRAZIL 6 1/8 03/15/34
ZN384489 Corp	PANAMA 6.4 02/14/35
ZG019317 Corp	COLOM 8 11/14/35
EK169342 Corp	MBONO 7 3/4 11/23/34
AW627458 Corp	COLTES 7 1/4 10/18/34
ZO305198 Corp	ARGENT 4 1/8 07/09/35
ZF160325 Corp	BNTNF 10 01/01/35
AX800911 Corp	RUSSIA 5.1 03/28/35
BP977825 Corp	SWISS 0 1/4 06/23/35
ZM652763 Corp	DGB 2 1/4 11/15/33
ZF411707 Corp	SGB 2 1/4 05/11/35
YS326771 Corp	DBR 2 1/2 02/15/35
ZF793713 Corp	NETHER 2 1/2 07/15/34
ZF276188 Corp	IRISH 2.6 10/18/34
ZB628316 Corp	RFGB 3 09/15/34
AW984753 Corp	CYPRUS 2 3/4 02/26/34
YR001972 Corp	RAGB 2.95 02/20/35
ZD153851 Corp	EU 3 12/04/34
ZD454900 Corp	CROATI 3 3/8 03/12/34
YS492770 Corp	PGB 3 06/15/35
EK812857 Corp	SLOREP 1 1/2 03/25/35
YS416909 Corp	BGB 3.1 06/22/35
ZJ607405 Corp	LATVIA 3 7/8 07/12/33
YX393934 Corp	SPGB 3.45 10/31/34
YR156127 Corp	FRTR 3.2 05/25/35
YS603944 Corp	GGB 3 5/8 06/15/35
ZL074879 Corp	SLOVGB 3 3/4 02/23/35
QJ202347 Corp	LITHUN 2 1/8 10/22/35
YS466858 Corp	BTPS 3.65 08/01/35
YR244262 Corp	NGB 3 3/4 06/12/35
BU685566 Corp	CZGB 3 1/2 05/30/35
ZF031623 Corp	ILGOV 4 03/30/35
YR075593 Corp	UKT 4 1/2 03/07/35
YR715181 Corp	QATAR 4 7/8 02/27/35
ZF208232 Corp	KSA 5 01/16/34
ZB292176 Corp	POLGB 5 10/25/34
ZI719349 Corp	HGB 7 10/24/35
ZH309327 Corp	ICEGB 7 09/17/35
YU020606 Corp	TURKEY 6 1/2 01/03/35
YV487667 Corp	ROMGB 6 3/4 04/25/35
EK773288 Corp	SAGB 8 7/8 02/28/35
ZH859732 Corp	RFLB 11 1/4 03/15/34
YV463872 Corp	UKRAIN 1 3/4 02/01/35
YS766840 Corp	NIGB 22.6 01/29/35
YU359570 Corp	TURKGB 27.7 09/27/34
AS829561 Corp	LEBAN 8 1/4 05/17/34
EI035358 Corp	RPGB 9 1/4 11/05/34
YS443328 Corp	JGB 1.2 12/20/34
YS255438 Corp	TGB 1 1/2 02/13/35
YT304720 Corp	CGB 2.04 11/25/34
YS791346 Corp	THAIGB 2.41 03/17/35
YR828332 Corp	SIGB 2 3/4 03/01/35
YU337204 Corp	KTB 3 12/10/34
AZ460230 Corp	MGS 3.828 07/05/34
ZK214470 Corp	ACGB 3 1/2 12/21/34
ZN271569 Corp	NZGB 4 1/4 05/15/34
ZF096712 Corp	INDON 4.7 02/10/34
YV448316 Corp	PHILIP 4 3/4 03/05/35
YU189775 Corp	IGB 6.79 10/07/34
YW826083 Corp	INDOGB 6 3/4 07/15/35
YS585186 Corp	PAKGB 12 01/16/35
